Title,URL,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation
"radiosurgical, neurosurgical, or no intervention for cerebral cavernous malformations: a decision analysis",https://pubmed.ncbi.nlm.nih.gov/31122172/,23,05,2019,International journal of stroke : official journal of the International Stroke Society,14,9,1747-4949,Leon A,Rinkel,"University Medical Centre Groningen, University of Groningen, Groningen, the Netherlands.",Rustam,Al-Shahi Salman,"Centre for Clinical Brain Sciences, University of Edinburgh, Edinburgh, UK.",Gabriel Je,Rinkel,"Department of Neurology and Neurosurgery, University Medical Center Utrecht, Utrecht, the Netherlands.",Jacoba P,Greving,"Julius Center for Health Sciences and Primary Care, University Medical Center Utrecht, Utrecht, the Netherlands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
surveillance imaging for patients with head and neck cancer treated with definitive radiotherapy: a partially observed markov decision process model,https://pubmed.ncbi.nlm.nih.gov/31725906/,14,11,2019,Cancer,126,4,1097-0142,Sweet Ping,Ng,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",Temitayo,Ajayi,"Department of Computational and Applied Mathematics, Rice University, Houston, Texas.",Andrew J,Schaefer,"Department of Computational and Applied Mathematics, Rice University, Houston, Texas.",Courtney,Pollard,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",Houda,Bahig,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",Adam S,Garden,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",David I,Rosenthal,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",G Brandon,Gunn,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",Steven J,Frank,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",Jack,Phan,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",William H,Morrison,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",Jason M,Johnson,"Department of Diagnostic Radiology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",Abdallah S R,Mohamed,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",Erich M,Sturgis,"Department of Head and Neck Surgery, Division of Surgery, The University of Texas MD Anderson Cancer Center, Houston, Texas.",Clifton D,Fuller,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas."
a markov decision process approach to optimizing cancer therapy using multiple modalities,https://pubmed.ncbi.nlm.nih.gov/30863847/,28,02,2020,Mathematical medicine and biology : a journal of the IMA,37,1,1477-8602,Kelsey,Maass,"Department of Applied Mathematics, University of Washington, Seattle WA, USA.",Minsun,Kim,"Department of Radiation Oncology, University of Washington, Seattle WA, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost effectiveness of the oncotype dx dcis score for guiding treatment of patients with ductal carcinoma in situ,https://pubmed.ncbi.nlm.nih.gov/27621393/,30,09,2016,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,34,33,1527-7755,Ann C,Raldow,"Ann C. Raldow, David Geffen School of Medicine at UCLA, Los Angeles, CA; Aileen B. Chen and Rinaa S. Punglia, Brigham and Women's Hospital/Dana-Farber Cancer Institute; and Abram Recht, Beth Israel Deaconess Medical Center, Boston, MA; and David Sher, University of Texas Southwestern Medical Center, Dallas, TX.",David,Sher,"Ann C. Raldow, David Geffen School of Medicine at UCLA, Los Angeles, CA; Aileen B. Chen and Rinaa S. Punglia, Brigham and Women's Hospital/Dana-Farber Cancer Institute; and Abram Recht, Beth Israel Deaconess Medical Center, Boston, MA; and David Sher, University of Texas Southwestern Medical Center, Dallas, TX.",Aileen B,Chen,"Ann C. Raldow, David Geffen School of Medicine at UCLA, Los Angeles, CA; Aileen B. Chen and Rinaa S. Punglia, Brigham and Women's Hospital/Dana-Farber Cancer Institute; and Abram Recht, Beth Israel Deaconess Medical Center, Boston, MA; and David Sher, University of Texas Southwestern Medical Center, Dallas, TX.",Abram,Recht,"Ann C. Raldow, David Geffen School of Medicine at UCLA, Los Angeles, CA; Aileen B. Chen and Rinaa S. Punglia, Brigham and Women's Hospital/Dana-Farber Cancer Institute; and Abram Recht, Beth Israel Deaconess Medical Center, Boston, MA; and David Sher, University of Texas Southwestern Medical Center, Dallas, TX.",Rinaa S,Punglia,"Ann C. Raldow, David Geffen School of Medicine at UCLA, Los Angeles, CA; Aileen B. Chen and Rinaa S. Punglia, Brigham and Women's Hospital/Dana-Farber Cancer Institute; and Abram Recht, Beth Israel Deaconess Medical Center, Boston, MA; and David Sher, University of Texas Southwestern Medical Center, Dallas, TX.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
optimizing resource allocation for breast cancer prevention and care among hong kong chinese women,https://pubmed.ncbi.nlm.nih.gov/22359352/,22,02,2012,Cancer,118,18,1097-0142,Irene O L,Wong,"School of Public Health, The University of Hong Kong, Hong Kong SAR, China. iolwong@hku.hk",Janice W H,Tsang,,Benjamin J,Cowling,,Gabriel M,Leung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost-effectiveness of the use of gold anchor™ markers in prostate cancer,https://pubmed.ncbi.nlm.nih.gov/33269157/,29,10,2020,Cureus,12,10,2168-8184,Martina,Lundqvist,"Department of Health, Medicine and Caring Sciences, Linköping University, Linköping, SWE.",Lars-Åke,Levin,"Department of Health, Medicine and Caring Sciences, Linköping University, Linköping, SWE.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sequencing surgery, radiotherapy and chemotherapy: insights from a mathematical analysis",https://pubmed.ncbi.nlm.nih.gov/12206517/,XX,06,2002,Breast cancer research and treatment,74,3,0167-6806,Damian R,Beil,"Operations Research Center, Massachusetts Institute of Technology, Cambridge 02139, USA.",Lawrence M,Wein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a systematic review of the role of bisphosphonates in metastatic disease,https://pubmed.ncbi.nlm.nih.gov/14960258/,XX,XX,2004,"Health technology assessment (Winchester, England)",8,4,1366-5278,J R,Ross,"Department of Palliative Medicine, Royal Marsden Hospital, London, UK.",Y,Saunders,,P M,Edmonds,,S,Patel,,D,Wonderling,,C,Normand,,K,Broadley,,,,,,,,,,,,,,,,,,,,,,,,,
a decision model to estimate the cost-effectiveness of intensity modulated radiation therapy (imrt) compared to three dimensional conformal radiation therapy (3dcrt) in patients receiving radiotherapy to the prostate bed,https://pubmed.ncbi.nlm.nih.gov/24929702/,11,06,2014,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,112,2,1879-0887,Hannah E,Carter,"NHMRC Clinical Trials Centre, University of Sydney, Camperdown, Australia. Electronic address: hannah.carter@ctc.usyd.edu.au.",Andrew,Martin,"NHMRC Clinical Trials Centre, University of Sydney, Camperdown, Australia.",Deborah,Schofield,"NHMRC Clinical Trials Centre, University of Sydney, Camperdown, Australia.",Gillian,Duchesne,"Sir Peter MacCallum Dept of Oncology, University of Melbourne, Australia.",Annette,Haworth,"Sir Peter MacCallum Dept of Oncology, University of Melbourne, Australia; Dept Physical Sciences, Peter MacCallum Cancer Centre, Melbourne, Australia.",Colin,Hornby,"Division of Radiation Oncology, Peter MacCallum Cancer Centre, Australia.",Mark,Sidhom,"Liverpool Cancer Therapy Centre, Australia.",Michael,Jackson,"Faculty of Medicine, University of New South Wales, Sydney, Australia.",,,,,,,,,,,,,,,,,,,,,
a radiobiological markov simulation tool for aiding decision making in proton therapy referral,https://pubmed.ncbi.nlm.nih.gov/29254594/,23,11,2017,Physica medica : PM : an international journal devoted to the applications of physics to medicine and biology : official journal of the Italian Association of Biomedical Physics (AIFB),44,,1724-191X,Annabelle M,Austin,"Department of Physics, University of Adelaide, Adelaide, SA 5005, Australia. Electronic address: annabelle.austin@adelaide.edu.au.",Michael J J,Douglass,"Department of Physics, University of Adelaide, Adelaide, SA 5005, Australia; Department of Medical Physics, Royal Adelaide Hospital, Adelaide, SA 5000, Australia. Electronic address: michael.douglass@adelaide.edu.au.",Giang T,Nguyen,"School of Mathematical Sciences, University of Adelaide, Adelaide, SA 5005, Australia. Electronic address: giang.nguyen@adelaide.edu.au.",Scott N,Penfold,"Department of Physics, University of Adelaide, Adelaide, SA 5005, Australia; Department of Medical Physics, Royal Adelaide Hospital, Adelaide, SA 5000, Australia. Electronic address: Scott.Penfold@sa.gov.au.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
