Title,URL,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 3 First Name,Author 3 Last Name,Author 4 First Name,Author 4 Last Name,Author 5 First Name,Author 5 Last Name,Author 6 First Name,Author 6 Last Name,Author 7 First Name,Author 7 Last Name,Author 8 First Name,Author 8 Last Name,Author 9 First Name,Author 9 Last Name,Author 2 Affiliation,Author 3 Affiliation,Author 4 Affiliation,Author 5 Affiliation,Author 6 Affiliation,Author 7 Affiliation,Author 8 Affiliation,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Author 23 First Name,Author 23 Last Name,Author 23 Affiliation,Collective Author 1,Collective Author 2,Collective Author 3,Collective Author 4,Collective Author 5,Collective Author 6
cost effectiveness of concurrent chemoradiation in comparison with radiation alone in locally advanced cervical cancer,https://pubmed.ncbi.nlm.nih.gov/16404829/,XX,08,2005,Journal of the Medical Association of Thailand = Chotmaihet thangphaet,88,8,0125-2208,Sumonmal,Manusirivithaya,"Department of Obstetrics and Gynecology, Bangkok Metropolitan Administration Medical College and Vajira Hospital, Bangkok 10330, Thailand.",Manit,Sripramote,Siriwan,Tangjitgamol,Nopawan,Sanjareonsuttikul,Pagaporn,Pisarnturakit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neoadjuvant therapy of locally advanced gastric cancer,https://pubmed.ncbi.nlm.nih.gov/20187070/,15,03,2010,Journal of surgical oncology,101,4,1096-9098,James J,Mezhir,"Department of Surgery, Memorial Sloan-Kettering Cancer Center, New York, New York 10065, USA. mezhirj@mskcc.org",Laura H,Tang,Daniel G,Coit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clinical characteristics of children with atypical and idiopathic slipped capital femoral epiphysis: description of the age-weight test and implications for further diagnostic investigation,https://pubmed.ncbi.nlm.nih.gov/11433161/,XX,XX,2001,Journal of pediatric orthopedics,21,4,0271-6798,R T,Loder,"Shriners Hospital for Children, Minneapolis, Minnesota 55414, U.S.A. rloder@shrinenet.org",M L,Greenfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr imaging of endometrial carcinoma: role and limits,https://pubmed.ncbi.nlm.nih.gov/12495884/,XX,11,2002,Bulletin du cancer,89,11,0007-4551,Sophie,Taïeb,"Radiologie, Centre Oscar-Lambret, 3, rue Frédéric-Combemale, BP 307, 59020 Lille Cedex, France. s-taieb@o-lambret.fr",Luc,Ceugnart,Eric,Leblanc,Annick,Chevalier,Véronique,Cabaret,Denis,Querleu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"offering a treatment choice in the irradiation of prostate cancer leads to better informed and more active patients, without harm to well-being",https://pubmed.ncbi.nlm.nih.gov/17765404/,31,08,2007,"International journal of radiation oncology, biology, physics",70,2,0360-3016,Julia J,van Tol-Geerdink,"Department of Radiation Oncology, Radboud University Nijmegen Medical Centre, Nijmegen, The Netherlands. J.vanTol@rther.umcn.nl",Jan Willem,Leer,Emile N J Th,van Lin,Erik C,Schimmel,Henk,Huizenga,Willem A J,van Daal,Peep F M,Stalmeier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-driven markov models and their application in the evaluation of adverse events in radiotherapy,https://pubmed.ncbi.nlm.nih.gov/23824126/,XX,07,2013,Journal of radiation research,54 Suppl 1,,1349-9157,Daniel,Abler,"CERN, CH1211 Geneva 23, Switzerland. daniel.abler@cern.ch",Vassiliki,Kanellopoulos,Jim,Davies,Manjit,Dosanjh,Raj,Jena,Norman,Kirkby,Ken,Peach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the role of hybrid pet/ct in the evaluation of patients with cervical cancer,https://pubmed.ncbi.nlm.nih.gov/16269172/,02,11,2005,Gynecologic oncology,100,1,0090-8258,Amnon,Amit,"Department of Obstetrics and Gynecology, Rambam Medical Center, POB 9602, Haifa 31096, Israel. a_amit@rambam.health.gov.il",Dan,Beck,Lior,Lowenstein,Offer,Lavie,Rachel,Bar Shalom,Zohar,Kedar,Ora,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deale-ing with life expectancy and mortality rates,https://pubmed.ncbi.nlm.nih.gov/2775358/,XX,XX,1989,Medical decision making : an international journal of the Society for Medical Decision Making,9,2,0272-989X,L J,Stalpers,"Institute for Radiotherapy, St. Radboud University Hospital, Nijmegen, The Netherlands.",H J,Van Gasteren,W A,Van Daal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uncertainty in prostate cancer care: the physician's role in clearing the confusion,https://pubmed.ncbi.nlm.nih.gov/10866876/,28,06,2000,JAMA,283,24,0098-7484,T J,Wilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taxonometric applications in radiotherapy incident analysis,https://pubmed.ncbi.nlm.nih.gov/18406929/,XX,XX,2008,"International journal of radiation oncology, biology, physics",71,1 Suppl,0360-3016,Peter B,Dunscombe,"Department of Oncology, University of Calgary Faculty of Medicine, Calgary, AB, Canada. peterdun@cancerboard.ab.ca",Edidiong U,Ekaette,Robert C,Lee,David L,Cooke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
