Title,URL,Reviewer1,Decision1,Comments1,Reviewer2,Decision2,Comments2
simulation-based approximate policy iteration for dynamic patient scheduling for radiation therapy,https://pubmed.ncbi.nlm.nih.gov/27766509/,Aysenur,,,Cem,,
"challenges in the treatment of breast cancer brain metastases: evidence, unresolved questions, and a practical algorithm",https://pubmed.ncbi.nlm.nih.gov/32207041/,Aysenur,,,Lucas,,
breast cancer tumor heterogeneity has only little impact on the estimation of the oncotype dx® recurrence score using magee equations and magee decision algorithm™,https://pubmed.ncbi.nlm.nih.gov/33245987/,Aysenur,,,Cem,,
ccafu's contribution to the french national cancer institute's reference frame: retroperitoneal sarcomas,https://pubmed.ncbi.nlm.nih.gov/24485290/,Aysenur,,,Lucas,,
optimizing resource allocation for breast cancer prevention and care among hong kong chinese women,https://pubmed.ncbi.nlm.nih.gov/22359352/,Aysenur,,,Cem,,
treatment of non-small cell lung cancer in elderly patients,https://pubmed.ncbi.nlm.nih.gov/18183333/,Aysenur,,,Lucas,,
4d ct image acquisition errors in sbrt of liver identified using correlation,https://pubmed.ncbi.nlm.nih.gov/22231209/,Aysenur,,,Cem,,
evaluation of cost effectiveness for conservative and active management strategies for acoustic neuroma,https://pubmed.ncbi.nlm.nih.gov/19793276/,Aysenur,,,Lucas,,
practice guidelines of the use of bisphosphonates in solid tumours with bone metastases and in multiple myeloma,https://pubmed.ncbi.nlm.nih.gov/21376431/,Aysenur,,,Cem,,
ccafu recommendations 2013: testicular germ cell cancer,https://pubmed.ncbi.nlm.nih.gov/24485289/,Aysenur,,,Lucas,,
multitask gaussian processes for multivariate physiological time-series analysis,https://pubmed.ncbi.nlm.nih.gov/25167541/,Aysenur,,,Lucas,,
cost effectiveness of cetuximab concurrent with radiotherapy for patients with locally advanced head and neck cancer in taiwan: a decision-tree analysis,https://pubmed.ncbi.nlm.nih.gov/21744880/,Aysenur,,,Cem,,
the indication area of a diagnostic test. part i--discounting gain and loss in diagnostic certainty,https://pubmed.ncbi.nlm.nih.gov/26139436/,Aysenur,,,Lucas,,
application of post-surgical stimulated thyroglobulin for radioiodine remnant ablation selection in low-risk papillary thyroid carcinoma,https://pubmed.ncbi.nlm.nih.gov/20187016/,Aysenur,,,Cem,,
a robust method of multileaf collimator (mlc) leaf-configuration verification,https://pubmed.ncbi.nlm.nih.gov/15560001/,Aysenur,,,Cem,,
oesophageal cancer: multidisciplinary approach,https://pubmed.ncbi.nlm.nih.gov/20672683/,Aysenur,,,Cem,,
automatic delineation of body contours on cone-beam ct images using a delineation booster,https://pubmed.ncbi.nlm.nih.gov/22706031/,Aysenur,,,Lucas,,
clinical management of the most important cancers in older patients,https://pubmed.ncbi.nlm.nih.gov/19408878/,Aysenur,,,Cem,,
adjuvant radiotherapy,https://pubmed.ncbi.nlm.nih.gov/21912576/,Aysenur,,,Lucas,,
a rescue strategy for handling unevaluable patients in simon's two stage design,https://pubmed.ncbi.nlm.nih.gov/26368810/,Aysenur,,,Cem,,
the rationale for a multimodal approach in the management of breakthrough cancer pain: a review,https://pubmed.ncbi.nlm.nih.gov/17582029/,Aysenur,,,Lucas,,
a management algorithm and practical oncoplastic surgical techniques for repairing partial mastectomy defects,https://pubmed.ncbi.nlm.nih.gov/19050516/,Aysenur,,,Cem,,
radiotherapy for brain metastases,https://pubmed.ncbi.nlm.nih.gov/11373886/,Aysenur,,,Lucas,,
preablation diagnostic whole-body scan vs empiric radioactive iodine ablation in differentiated thyroid cancer: cost-effectiveness analysis,https://pubmed.ncbi.nlm.nih.gov/33076776/,Aysenur,,,Cem,,
activity-based costing: a practical model for cost calculation in radiotherapy,https://pubmed.ncbi.nlm.nih.gov/12957266/,Aysenur,,,Lucas,,
a proposed framework for consensus-based lung tumour volume auto-segmentation in 4d computed tomography imaging,https://pubmed.ncbi.nlm.nih.gov/25611494/,Aysenur,,,Cem,,
diagnostic algorithm for acute superior vena caval obstruction (svco),https://pubmed.ncbi.nlm.nih.gov/8227119/,Aysenur,,,Lucas,,
thresholds for therapies: highlights of the st gallen international expert consensus on the primary therapy of early breast cancer 2009,https://pubmed.ncbi.nlm.nih.gov/19535820/,Aysenur,,,Lucas,,
