Title,URL,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation
range uncertainties in proton therapy and the role of monte carlo simulations,https://pubmed.ncbi.nlm.nih.gov/22571913/,09,05,2012,Physics in medicine and biology,57,11,1361-6560,Harald,Paganetti,"Department of Radiation Oncology, Massachusetts General Hospital and Harvard Medical School, Boston, MA 02114, USA. hpaganetti@partners.org",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intercomparison of monte carlo calculated dose enhancement ratios for gold nanoparticles irradiated by x-rays: assessing the uncertainty and correct methodology for extended beams,https://pubmed.ncbi.nlm.nih.gov/33766478/,23,03,2021,Physica medica : PM : an international journal devoted to the applications of physics to medicine and biology : official journal of the Italian Association of Biomedical Physics (AIFB),84,,1724-191X,H,Rabus,"Physikalisch-Technische Bundesanstalt, Braunschweig and Berlin, Germany; European Radiation Dosimetry Group (EURADOS) e.V, Neuherberg, Germany.",W B,Li,"Institute of Radiation Medicine, Helmholtz Zentrum München - German Research Center for Environmental Health, Neuherberg, Germany; European Radiation Dosimetry Group (EURADOS) e.V, Neuherberg, Germany.",C,Villagrasa,"Institut de Radioprotection et de Sûreté Nucléaire, Fontenay-Aux-Roses, France; European Radiation Dosimetry Group (EURADOS) e.V, Neuherberg, Germany.",J,Schuemann,"Massachusetts General Hospital & Harvard Medical School, Department of Radiation Oncology, Boston, MA, USA; European Radiation Dosimetry Group (EURADOS) e.V, Neuherberg, Germany.",P A,Hepperle,"Physikalisch-Technische Bundesanstalt, Braunschweig and Berlin, Germany; Leibniz Universität Hannover, Hannover, Germany.",L,de la Fuente Rosales,"Physikalisch-Technische Bundesanstalt, Braunschweig and Berlin, Germany.",M,Beuve,"Institut de Physique des 2 Infinis, Université Claude Bernard Lyon 1, Villeurbanne, France; European Radiation Dosimetry Group (EURADOS) e.V, Neuherberg, Germany.",S,Di Maria,"Centro de Ciências e Tecnologias Nucleares, Instituto Superior Técnico, Universidade de Lisboa, Bobadela LRS, Portugal; European Radiation Dosimetry Group (EURADOS) e.V, Neuherberg, Germany.",A P,Klapproth,"Institute of Radiation Medicine, Helmholtz Zentrum München - German Research Center for Environmental Health, Neuherberg, Germany; TranslaTUM, Klinikum rechts der Isar, Technische Universität München, Munich, Germany.",C Y,Li,"Department of Engineering Physics, Tsinghua University, Beijing, China; Nuctech Company Limited, Beijing, China.",F,Poignant,"Institut de Physique des 2 Infinis, Université Claude Bernard Lyon 1, Villeurbanne, France; NASA Langley Research Center, Hampton, VA, USA.",B,Rudek,"Physikalisch-Technische Bundesanstalt, Braunschweig and Berlin, Germany; Massachusetts General Hospital & Harvard Medical School, Department of Radiation Oncology, Boston, MA, USA; Perlmutter Cancer Center, NYU Langone Health, New York City, NY, USA.",H,Nettelbeck,"Physikalisch-Technische Bundesanstalt, Braunschweig and Berlin, Germany; European Radiation Dosimetry Group (EURADOS) e.V, Neuherberg, Germany.",,,,,,
design of an yb-169 source optimized for gold nanoparticle-aided radiation therapy,https://pubmed.ncbi.nlm.nih.gov/25281948/,XX,10,2014,Medical physics,41,10,2473-4209,Francisco J,Reynoso,"Nuclear/Radiological Engineering and Medical Physics Programs, Woodruff School of Mechanical Engineering, Georgia Institute of Technology, Atlanta, Georgia 30332-0405.",Nivedh,Manohar,"Nuclear/Radiological Engineering and Medical Physics Programs, Woodruff School of Mechanical Engineering, Georgia Institute of Technology, Atlanta, Georgia 30332-0405.",Sunil,Krishnan,"Department of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas 77030.",Sang Hyun,Cho,"Department of Radiation Physics and Department of Imaging Physics, The University of Texas MD Anderson Cancer Center, Houston, Texas 77030.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uncertainties and correction methods when modeling passive scattering proton therapy treatment heads with monte carlo,https://pubmed.ncbi.nlm.nih.gov/21478569/,08,04,2011,Physics in medicine and biology,56,9,1361-6560,Bryan,Bednarz,"Department of Medical Physics, University of Wisconsin-Madison, Madison, WI 53705, USA. bbednarz2@wisc.edu",Hsiao-Ming,Lu,,Martijn,Engelsman,,Harald,Paganetti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a bayesian nonrigid registration method to enhance intraoperative target definition in image-guided prostate procedures through uncertainty characterization,https://pubmed.ncbi.nlm.nih.gov/23127078/,XX,11,2012,Medical physics,39,11,0094-2405,Jennifer,Pursley,"Department of Radiation Oncology, Harvard Medical School, Boston, MA 02115, USA. jpursley@partners.org",Petter,Risholm,,Andriy,Fedorov,,Kemal,Tuncali,,Fiona M,Fennessy,,William M,Wells,,Clare M,Tempany,,Robert A,Cormack,,,,,,,,,,,,,,,,,,,,,,
evaluation of uncertainty-based stopping criteria for monte carlo calculations of intensity-modulated radiotherapy and arc therapy patient dose distributions,https://pubmed.ncbi.nlm.nih.gov/17869677/,01,10,2007,"International journal of radiation oncology, biology, physics",69,2,0360-3016,Barbara,Vanderstraeten,"Department of Medical Physics, Ghent University, Gent, Belgium. Barbara.Vanderstraeten@UGent.be",Ana Maria Luiza,Olteanu,,Nick,Reynaert,,Antonio,Leal,,Wilfried,De Neve,,Hubert,Thierens,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitfalls in the beam modelling process of monte carlo calculations for proton pencil beam scanning,https://pubmed.ncbi.nlm.nih.gov/32003576/,06,02,2020,The British journal of radiology,93,1107,1748-880X,Carla,Winterhalter,"Centre for Proton Therapy, Paul Scherrer Institute, Villigen, Switzerland.",Adam,Aitkenhead,"Christie Medical Physics and Engineering, The Christie NHS Foundation Trust, Manchester, UK.",David,Oxley,"Centre for Proton Therapy, Paul Scherrer Institute, Villigen, Switzerland.",Jenny,Richardson,"Christie Medical Physics and Engineering, The Christie NHS Foundation Trust, Manchester, UK.",Damien C,Weber,"Centre for Proton Therapy, Paul Scherrer Institute, Villigen, Switzerland.",Ranald I,MacKay,"Christie Medical Physics and Engineering, The Christie NHS Foundation Trust, Manchester, UK.",Antony J,Lomax,"Centre for Proton Therapy, Paul Scherrer Institute, Villigen, Switzerland.",Sairos,Safai,"Centre for Proton Therapy, Paul Scherrer Institute, Villigen, Switzerland.",,,,,,,,,,,,,,,,,,,,,
directional scatter imaging for the stereoscopic tracking of fiducial markers in a single kv exposure,https://pubmed.ncbi.nlm.nih.gov/29206280/,21,12,2017,Medical physics,45,2,2473-4209,Héctor Mauricio,Garnica-Garza,"Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional Unidad Monterrey, Vía del Conocimiento 201 Parque PIIT, Apodaca, Nuevo León, 66600, Mexico.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
online stochastic optimization of radiotherapy patient scheduling,https://pubmed.ncbi.nlm.nih.gov/24803080/,07,05,2014,Health care management science,18,2,1386-9620,Antoine,Legrain,"Department of Mathematical and Industrial Engineering, CIRRELT and Polytechnique Montréal, C.P. 6079, Succursale Centre-ville, Montréal, QC, Canada, H3C 3A7, antoine.legrain@polymtl.ca.",Marie-Andrée,Fortin,,Nadia,Lahrichi,,Louis-Martin,Rousseau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accounting for range uncertainties in the optimization of combined proton-photon treatments via stochastic optimization,https://pubmed.ncbi.nlm.nih.gov/32361008/,30,04,2020,"International journal of radiation oncology, biology, physics",108,3,1879-355X,Silvia,Fabiano,"Department of Radiation Oncology, University Hospital Zürich, Zürich, Switzerland. Electronic address: silvia.fabiano@usz.ch.",Mark,Bangert,"Department of Medical Physics in Radiation Oncology, German Cancer Research Center, Heidelberg, Germany.",Matthias,Guckenberger,"Department of Radiation Oncology, University Hospital Zürich, Zürich, Switzerland.",Jan,Unkelbach,"Department of Radiation Oncology, University Hospital Zürich, Zürich, Switzerland.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
