Title,URL,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Journal Issue,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Collective Author 1
prediction of inter-fractional radiotherapy dose plans with domain translation in spatiotemporal embeddings,https://pubmed.ncbi.nlm.nih.gov/32622121/,17,05,2020,Medical image analysis,64,1361-8423,Andrei,Svecic,"Polytechnique Montréal, Montréal, Québec, Canada.",David,Roberge,"CHUM, Dept. Radio-oncology, Montréal, Québec, Canada. Electronic address: david.roberge.chum@ssss.gouv.qc.ca.",Samuel,Kadoury,"Polytechnique Montréal, Montréal, Québec, Canada; CHUM Research Center, Montréal, Québec, Canada. Electronic address: samuel.kadoury@polymtl.ca.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
surveillance imaging for patients with head and neck cancer treated with definitive radiotherapy: a partially observed markov decision process model,https://pubmed.ncbi.nlm.nih.gov/31725906/,14,11,2019,Cancer,126,1097-0142,Sweet Ping,Ng,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",Temitayo,Ajayi,"Department of Computational and Applied Mathematics, Rice University, Houston, Texas.",Andrew J,Schaefer,"Department of Computational and Applied Mathematics, Rice University, Houston, Texas.",4,Courtney,Pollard,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",Houda,Bahig,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",Adam S,Garden,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",David I,Rosenthal,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",G Brandon,Gunn,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",Steven J,Frank,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",Jack,Phan,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",William H,Morrison,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",Jason M,Johnson,"Department of Diagnostic Radiology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",Abdallah S R,Mohamed,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",Erich M,Sturgis,"Department of Head and Neck Surgery, Division of Surgery, The University of Texas MD Anderson Cancer Center, Houston, Texas.",Clifton D,Fuller,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",,,,,,,,,,,,,,,,,,,,,,
a fast robust optimizer for intensity modulated proton therapy using gpu,https://pubmed.ncbi.nlm.nih.gov/32141699/,06,03,2020,Journal of applied clinical medical physics,21,1526-9914,Yao,Xu,"School of Physical Sciences, University of Science and Technology of China, Hefei, Anhui, China.",Jinhu,Chen,"Department of Radiation Oncology, Shandong Tumor Hospital and Institute, Jinan, Shandong, China.",Ruifen,Cao,"School of Computer Science and Technology, Anhui University, Hefei, Anhui, China.",3,Hongdong,Liu,"School of Physical Sciences, University of Science and Technology of China, Hefei, Anhui, China.",Xie George,Xu,"Nuclear Engineering Program, Rensselaer Polytechnic Institute, Troy, NY, USA.",Xi,Pei,"School of Physical Sciences, University of Science and Technology of China, Hefei, Anhui, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analysis of acute-phase toxicities of intensity-modulated proton therapy using a model-based approach in pharyngeal cancer patients,https://pubmed.ncbi.nlm.nih.gov/33372202/,10,03,2021,Journal of radiation research,62,1349-9157,Koichi,Yasuda,"Department of Radiation Oncology, Hokkaido University Hospital, North-15 West-7, Sapporo, Japan.",Hideki,Minatogawa,"Department of Radiation Oncology, Hokkaido University Hospital, North-15 West-7, Sapporo, Japan.",Yasuhiro,Dekura,"Department of Radiation Oncology, Hokkaido University Hospital, North-15 West-7, Sapporo, Japan.",2,Seishin,Takao,"Department of Medical Physics, Hokkaido University Hospital, North-15 West-7, Sapporo, Japan.",Masaya,Tamura,"Department of Medical Physics, Hokkaido University Hospital, North-15 West-7, Sapporo, Japan.",Nayuta,Tsushima,"Department of Otolaryngology-Head and Neck Surgery, Faculty and Graduate School of Medicine,Hokkaido University, North-15 West-7, Sapporo, Japan.",Takayoshi,Suzuki,"Department of Otolaryngology-Head and Neck Surgery, Faculty and Graduate School of Medicine,Hokkaido University, North-15 West-7, Sapporo, Japan.",Satoshi,Kano,"Department of Otolaryngology-Head and Neck Surgery, Faculty and Graduate School of Medicine,Hokkaido University, North-15 West-7, Sapporo, Japan.",Takatsugu,Mizumachi,"Department of Otolaryngology-Head and Neck Surgery, Faculty and Graduate School of Medicine,Hokkaido University, North-15 West-7, Sapporo, Japan.",Takashi,Mori,"Department of Oral Radiology, Graduate School of Dental Medicine, Hokkaido University, Hokkaido University, North-13 West-7, Sapporo, Japan.",Kentaro,Nishioka,"Department of Radiation Medical Science and Engineering, Faculty and Graduate School of Medicine,Hokkaido University, North-15 West-7, Sapporo, Japan.",Motoyasu,Shido,"Department of Radiation Oncology, Hokkaido University Hospital, North-15 West-7, Sapporo, Japan.",Norio,Katoh,"Department of Radiation Oncology, Faculty and Graduate School of Medicine, Hokkaido University, North-15 West-7, Sapporo, Japan.",Hiroshi,Taguchi,"Department of Radiation Oncology, Hokkaido University Hospital, North-15 West-7, Sapporo, Japan.",Noriyuki,Fujima,"Department of Radiology, Boston Medical Center, Boston University School of Medicine, Boston, MA, USA.",Rikiya,Onimaru,"Department of Radiation Oncology, Faculty and Graduate School of Medicine, Hokkaido University, North-15 West-7, Sapporo, Japan.",Isao,Yokota,"Department of Biostatistics, Faculty and Graduate School of Medicine, Hokkaido University, North-15 West-7, Sapporo, Japan.",Keiji,Kobashi,"Department of Medical Physics, Hokkaido University Hospital, North-15 West-7, Sapporo, Japan.",Shinichi,Shimizu,"Department of Radiation Medical Science and Engineering, Faculty and Graduate School of Medicine,Hokkaido University, North-15 West-7, Sapporo, Japan.",Akihiro,Homma,"Department of Otolaryngology-Head and Neck Surgery, Faculty and Graduate School of Medicine,Hokkaido University, North-15 West-7, Sapporo, Japan.",Hiroki,Shirato,"Department of Radiation Oncology, Faculty and Graduate School of Medicine, Hokkaido University, North-15 West-7, Sapporo, Japan.",Hidefumi,Aoyama,"Department of Radiation Oncology, Faculty and Graduate School of Medicine, Hokkaido University, North-15 West-7, Sapporo, Japan.",
fast and accurate sensitivity analysis of impt treatment plans using polynomial chaos expansion,https://pubmed.ncbi.nlm.nih.gov/27227661/,26,05,2016,Physics in medicine and biology,61,1361-6560,Zoltán,Perkó,"Department of Radiation, Science and Technology, Delft University of Technology, Section Nuclear Energy and Radiation Applications, Mekelweg 15, Delft, The Netherlands.",Sebastian R,van der Voort,,Steven,van de Water,,12,Charlotte M H,Hartman,,Mischa,Hoogeman,,Danny,Lathouwers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
investigation of intensity-modulated radiotherapy optimization with geud-based objectives by means of simulated annealing,https://pubmed.ncbi.nlm.nih.gov/18561680/,XX,05,2008,Medical physics,35,0094-2405,Matthias,Hartmann,"Department of Radiation Oncology, University Hospital Regensburg, Franz-Josef-Strauss-Allee 11, D-93042 Regensburg 93042, Germany. matthias.hartmann@psi.ch",Ludwig,Bogner,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a two-stage sequential linear programming approach to imrt dose optimization,https://pubmed.ncbi.nlm.nih.gov/20071764/,14,01,2010,Physics in medicine and biology,55,1361-6560,Hao H,Zhang,"Department of Radiation Oncology, University of Maryland School of Medicine, Baltimore, MD, USA. hzhan001@umaryland.edu",Robert R,Meyer,,Jianzhou,Wu,,3,Shahid A,Naqvi,,Leyuan,Shi,,Warren D,D'Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
characterizing the combinatorial beam angle selection problem,https://pubmed.ncbi.nlm.nih.gov/23023092/,01,10,2012,Physics in medicine and biology,57,1361-6560,Mark,Bangert,"Department of Medical Physics in Radiation Oncology, German Cancer Research Center, Im Neuenheimer Feld 280, D-69120 Heidelberg, Germany. markbangert@gmail.com",Peter,Ziegenhein,,Uwe,Oelfke,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impact of robust treatment planning on single- and multi-field optimized plans for proton beam therapy of unilateral head and neck target volumes,https://pubmed.ncbi.nlm.nih.gov/29183377/,28,11,2017,"Radiation oncology (London, England)",12,1748-717X,Macarena,Cubillos-Mesías,"OncoRay - National Center for Radiation Research in Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Helmholtz-Zentrum Dresden - Rossendorf, Dresden, Germany. macarena.cubillos@oncoray.de.",Michael,Baumann,"OncoRay - National Center for Radiation Research in Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Helmholtz-Zentrum Dresden - Rossendorf, Dresden, Germany.",Esther G C,Troost,"OncoRay - National Center for Radiation Research in Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Helmholtz-Zentrum Dresden - Rossendorf, Dresden, Germany.",1,Fabian,Lohaus,"OncoRay - National Center for Radiation Research in Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Helmholtz-Zentrum Dresden - Rossendorf, Dresden, Germany.",Steffen,Löck,"OncoRay - National Center for Radiation Research in Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Helmholtz-Zentrum Dresden - Rossendorf, Dresden, Germany.",Christian,Richter,"OncoRay - National Center for Radiation Research in Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Helmholtz-Zentrum Dresden - Rossendorf, Dresden, Germany.",Kristin,Stützer,"OncoRay - National Center for Radiation Research in Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Helmholtz-Zentrum Dresden - Rossendorf, Dresden, Germany. k.stuetzer@hzdr.de.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simultaneous beam geometry and intensity map optimization in intensity-modulated radiation therapy,https://pubmed.ncbi.nlm.nih.gov/16289912/,14,11,2005,"International journal of radiation oncology, biology, physics",64,0360-3016,Eva K,Lee,"Center for Operations Research in Medicine, School of Industrial and Systems Engineering, Georgia Institute of Technology, Atlanta, GA 30332-0205, USA. evakylee@isye.gatech.edu",Tim,Fox,,Ian,Crocker,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
including anatomical variations in robust optimization for head and neck proton therapy can reduce the need of adaptation,https://pubmed.ncbi.nlm.nih.gov/30773179/,31,12,2018,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,131,1879-0887,Macarena,Cubillos-Mesías,"OncoRay - National Center for Radiation Research in Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Helmholtz-Zentrum Dresden - Rossendorf, Dresden, Germany. Electronic address: Macarena.Cubillos@OncoRay.de.",Esther G C,Troost,"OncoRay - National Center for Radiation Research in Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Helmholtz-Zentrum Dresden - Rossendorf, Dresden, Germany; Helmholtz-Zentrum Dresden - Rossendorf, Institute of Radiooncology - OncoRay, Dresden, Germany; Department of Radiotherapy and Radiation Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Dresden, Germany; German Cancer Consortium (DKTK), Partner Site Dresden, and German Cancer Research Center (DKFZ), Heidelberg, Germany; National Center for Tumor Diseases (NCT), Partner Site Dresden, Germany; German Cancer Research Center (DKFZ), Heidelberg, Germany; Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Dresden, Germany; Helmholtz Association / Helmholtz-Zentrum Dresden - Rossendorf (HZDR), Dresden, Germany.",Fabian,Lohaus,"OncoRay - National Center for Radiation Research in Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Helmholtz-Zentrum Dresden - Rossendorf, Dresden, Germany; Department of Radiotherapy and Radiation Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Dresden, Germany; German Cancer Consortium (DKTK), Partner Site Dresden, and German Cancer Research Center (DKFZ), Heidelberg, Germany.",,Linda,Agolli,"Department of Radiotherapy and Radiation Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Dresden, Germany.",Maximilian,Rehm,"Department of Radiotherapy and Radiation Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Dresden, Germany.",Christian,Richter,"OncoRay - National Center for Radiation Research in Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Helmholtz-Zentrum Dresden - Rossendorf, Dresden, Germany; Helmholtz-Zentrum Dresden - Rossendorf, Institute of Radiooncology - OncoRay, Dresden, Germany; Department of Radiotherapy and Radiation Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Dresden, Germany; German Cancer Consortium (DKTK), Partner Site Dresden, and German Cancer Research Center (DKFZ), Heidelberg, Germany.",Kristin,Stützer,"OncoRay - National Center for Radiation Research in Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Helmholtz-Zentrum Dresden - Rossendorf, Dresden, Germany; Helmholtz-Zentrum Dresden - Rossendorf, Institute of Radiooncology - OncoRay, Dresden, Germany.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
