Title,URL,Reviewer1,Decision1,Comments1,Reviewer2,Decision2,Comments2
3d conformal intensity-modulated radiotherapy planning: interactive optimization by constrained matrix inversion,https://pubmed.ncbi.nlm.nih.gov/9632295/,Aysenur,,,Lucas,,
radiation dose-painting with protons vs. photons for head-and-neck cancer,https://pubmed.ncbi.nlm.nih.gov/31964199/,Aysenur,,,Cem,,
automated proton treatment planning with robust optimization using constrained hierarchical optimization,https://pubmed.ncbi.nlm.nih.gov/32196679/,Aysenur,,,Lucas,,
the impact of treatment accuracy on proton therapy patient selection for oropharyngeal cancer patients,https://pubmed.ncbi.nlm.nih.gov/29074078/,Aysenur,,,Lucas,,
caring for patients with surgically resectable cancers: experience from a specialised centre in rural rwanda,https://pubmed.ncbi.nlm.nih.gov/26399213/,Aysenur,,,Lucas,,
total-variation regularization based inverse planning for intensity modulated arc therapy,https://pubmed.ncbi.nlm.nih.gov/22335409/,Aysenur,,,Lucas,,
ranking radiotherapy treatment plans using decision-analytic and heuristic techniques,https://pubmed.ncbi.nlm.nih.gov/1511598/,Aysenur,,,Cem,,
a singular value decomposition linear programming (svdlp) optimization technique for circular cone based robotic radiotherapy,https://pubmed.ncbi.nlm.nih.gov/29148432/,Aysenur,,,Cem,,
simultaneous beam geometry and intensity map optimization in intensity-modulated radiation therapy,https://pubmed.ncbi.nlm.nih.gov/16289912/,Aysenur,,,Cem,,
implementation and experimental validation of a robust hybrid direct aperture optimization approach for mixed-beam radiotherapy,https://pubmed.ncbi.nlm.nih.gov/34585756/,Aysenur,,,Cem,,
stochastic predictions of cell kill during stereotactic ablative radiation therapy: do hypoxia and reoxygenation really matter?,https://pubmed.ncbi.nlm.nih.gov/27212197/,Aysenur,,,Lucas,,
fast and accurate sensitivity analysis of impt treatment plans using polynomial chaos expansion,https://pubmed.ncbi.nlm.nih.gov/27227661/,Aysenur,,,Lucas,,
anatomic changes in head and neck intensity-modulated proton therapy: comparison between robust optimization and online adaptation,https://pubmed.ncbi.nlm.nih.gov/33741469/,Aysenur,,,Cem,,
robust optimization to reduce the impact of biological effect variation from physical uncertainties in intensity-modulated proton therapy,https://pubmed.ncbi.nlm.nih.gov/30523932/,Aysenur,,,Cem,,
su-e-t-503: imrt optimization using monte carlo dose engine: the effect of statistical uncertainty,https://pubmed.ncbi.nlm.nih.gov/28518533/,Cem,,,Aysenur,,
generation of prescriptions robust against geometric uncertainties in dose painting by numbers,https://pubmed.ncbi.nlm.nih.gov/24991892/,Cem,,,Mohammad,,
stochastic modelling of the role of cisplatin in altered fractionation schedules for head and neck cancer,https://pubmed.ncbi.nlm.nih.gov/20034829/,Cem,,,Mohammad,,
robust treatment planning with conditional value at risk chance constraints in intensity-modulated proton therapy,https://pubmed.ncbi.nlm.nih.gov/28044325/,Cem,,,Soheil,,
adaptive anisotropic diffusion filtering of monte carlo dose distributions,https://pubmed.ncbi.nlm.nih.gov/14516100/,Cem,,,Soheil,,
validation of automated complex head and neck treatment planning with pencil beam scanning proton therapy,https://pubmed.ncbi.nlm.nih.gov/34936205/,Cem,,,Aysenur,,
feasibility and robustness of dose painting by numbers in proton therapy with contour-driven plan optimization,https://pubmed.ncbi.nlm.nih.gov/25832091/,Cem,,,Soheil,,
automated knowledge-based intensity-modulated proton planning: an international multicenter benchmarking study,https://pubmed.ncbi.nlm.nih.gov/30400263/,Cem,,,Mohammad,,
"dosimetric comparison of helical tomotherapy, volumetric-modulated arc therapy, and intensity-modulated proton therapy for angiosarcoma of the scalp",https://pubmed.ncbi.nlm.nih.gov/33517860/,Cem,,,Aysenur,,
flattening filter free in intensity-modulated radiotherapy (imrt) - theoretical modeling with delivery efficiency analysis,https://pubmed.ncbi.nlm.nih.gov/30371944/,Cem,,,Aysenur,,
a risk-adjusted control chart to evaluate intensity modulated radiation therapy plan quality,https://pubmed.ncbi.nlm.nih.gov/33089020/,Cem,,,Mohammad,,
a two-stage sequential linear programming approach to imrt dose optimization,https://pubmed.ncbi.nlm.nih.gov/20071764/,Cem,,,Soheil,,
dose optimization with first-order total-variation minimization for dense angularly sampled and sparse intensity modulated radiation therapy (dassim-rt),https://pubmed.ncbi.nlm.nih.gov/22830765/,Cem,,,Soheil,,
surveillance imaging for patients with head and neck cancer treated with definitive radiotherapy: a partially observed markov decision process model,https://pubmed.ncbi.nlm.nih.gov/31725906/,Cem,,,Mohammad,,
quantification of plan robustness against different uncertainty sources for classical and anatomical robust optimized treatment plans in head and neck cancer proton therapy,https://pubmed.ncbi.nlm.nih.gov/31778315/,Lucas,,,Mohammad,,
a surrogate-based metaheuristic global search method for beam angle selection in radiation treatment planning,https://pubmed.ncbi.nlm.nih.gov/23459411/,Lucas,,,Soheil,,
derivative-free generation and interpolation of convex pareto optimal imrt plans,https://pubmed.ncbi.nlm.nih.gov/17148822/,Lucas,,,Soheil,,
head and neck impt probabilistic dose accumulation: feasibility of a 2 mm setup uncertainty setting,https://pubmed.ncbi.nlm.nih.gov/32898561/,Lucas,,,Mohammad,,
selective robust optimization: a new intensity-modulated proton therapy optimization strategy,https://pubmed.ncbi.nlm.nih.gov/26233211/,Lucas,,,Aysenur,,
a set cover approach to fast beam orientation optimization in intensity modulated radiation therapy for total marrow irradiation,https://pubmed.ncbi.nlm.nih.gov/21828910/,Lucas,,,Aysenur,,
prediction of inter-fractional radiotherapy dose plans with domain translation in spatiotemporal embeddings,https://pubmed.ncbi.nlm.nih.gov/32622121/,Lucas,,,Soheil,,
statistical evaluation of worst-case robust optimization intensity-modulated proton therapy plans using an exhaustive sampling approach,https://pubmed.ncbi.nlm.nih.gov/31324257/,Lucas,,,Aysenur,,
impact of range uncertainty on clinical distributions of linear energy transfer and biological effectiveness in proton therapy,https://pubmed.ncbi.nlm.nih.gov/33118161/,Lucas,,,Mohammad,,
robust intensity-modulated proton therapy to reduce high linear energy transfer in organs at risk,https://pubmed.ncbi.nlm.nih.gov/28976574/,Lucas,,,Soheil,,
investigation of intensity-modulated radiotherapy optimization with geud-based objectives by means of simulated annealing,https://pubmed.ncbi.nlm.nih.gov/18561680/,Lucas,,,Aysenur,,
including anatomical variations in robust optimization for head and neck proton therapy can reduce the need of adaptation,https://pubmed.ncbi.nlm.nih.gov/30773179/,Lucas,,,Mohammad,,
adaptive treatment-length optimization in spatiobiologically integrated radiotherapy,https://pubmed.ncbi.nlm.nih.gov/29512510/,Lucas,,,Mohammad,,
mctp system model based on linear programming optimization of apertures obtained from sequencing patient image data maps,https://pubmed.ncbi.nlm.nih.gov/25086529/,Lucas,,,Soheil,,
composite minimax robust optimization of vmat improves target coverage and reduces non-target dose in head and neck cancer patients,https://pubmed.ncbi.nlm.nih.gov/31015132/,Lucas,,,Aysenur,,
improve the dosimetric outcome in bilateral head and neck cancer (hnc) treatment using spot-scanning proton arc (sparc) therapy: a feasibility study,https://pubmed.ncbi.nlm.nih.gov/32000817/,Mohammad,,,Lucas,,
analysis of acute-phase toxicities of intensity-modulated proton therapy using a model-based approach in pharyngeal cancer patients,https://pubmed.ncbi.nlm.nih.gov/33372202/,Mohammad,,,Cem,,
intensity modulated proton therapy (impt) - the future of imrt for head and neck cancer,https://pubmed.ncbi.nlm.nih.gov/30616799/,Mohammad,,,Cem,,
impact of robust treatment planning on single- and multi-field optimized plans for proton beam therapy of unilateral head and neck target volumes,https://pubmed.ncbi.nlm.nih.gov/29183377/,Mohammad,,,Lucas,,
conformal radiotherapy and intensity-modulated radiotherapy--clinical data,https://pubmed.ncbi.nlm.nih.gov/11093364/,Mohammad,,,Lucas,,
a novel linear programming approach to fluence map optimization for intensity modulated radiation therapy treatment planning,https://pubmed.ncbi.nlm.nih.gov/14653560/,Mohammad,,,Cem,,
introducing interactive inverse fem simulation and its application for adaptive radiotherapy,https://pubmed.ncbi.nlm.nih.gov/25485365/,Mohammad,,,Cem,,
hypothyroidism in patients treated with radiotherapy for head and neck carcinoma: standardised long-term follow-up study,https://pubmed.ncbi.nlm.nih.gov/26975210/,Mohammad,,,Cem,,
"accurate, robust and harmonized implementation of morpho-functional imaging in treatment planning for personalized radiotherapy",https://pubmed.ncbi.nlm.nih.gov/30625230/,Mohammad,,,Lucas,,
optimal fractionation in radiotherapy with multiple normal tissues,https://pubmed.ncbi.nlm.nih.gov/25980967/,Mohammad,,,Lucas,,
proton therapy for head and neck squamous cell carcinomas: from physics to clinic,https://pubmed.ncbi.nlm.nih.gov/31358445/,Mohammad,,,Lucas,,
using total-variation regularization for intensity modulated radiation therapy inverse planning with field-specific numbers of segments,https://pubmed.ncbi.nlm.nih.gov/18997262/,Mohammad,,,Cem,,
