Title,URL,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 3 First Name,Author 3 Last Name,Author 4 First Name,Author 4 Last Name,Author 5 First Name,Author 5 Last Name,Author 6 First Name,Author 6 Last Name,Author 7 First Name,Author 7 Last Name,Author 8 First Name,Author 8 Last Name,Author 2 Affiliation,Author 3 Affiliation,Author 4 Affiliation,Author 9 First Name,Author 9 Last Name,Author 10 First Name,Author 10 Last Name,Author 11 First Name,Author 11 Last Name,Author 12 First Name,Author 12 Last Name,Author 13 First Name,Author 13 Last Name,Author 14 First Name,Author 14 Last Name,Collective Author 1,Collective Author 2,Author 5 Affiliation,Author 6 Affiliation,Author 7 Affiliation,Author 8 Affiliation,Author 9 Affiliation,Author 10 Affiliation,Author 11 Affiliation,Author 12 Affiliation,Author 13 Affiliation,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 16 First Name,Author 16 Last Name,Author 17 First Name,Author 17 Last Name,Author 18 First Name,Author 18 Last Name,Author 19 First Name,Author 19 Last Name,Author 20 First Name,Author 20 Last Name,Author 21 First Name,Author 21 Last Name,Author 22 First Name,Author 22 Last Name,Author 15 Affiliation,Author 16 Affiliation,Author 17 Affiliation,Author 23 First Name,Author 23 Last Name,Author 24 First Name,Author 24 Last Name,Author 25 First Name,Author 25 Last Name,Author 26 First Name,Author 26 Last Name,Author 27 First Name,Author 27 Last Name,Author 28 First Name,Author 28 Last Name,Author 29 First Name,Author 29 Last Name,Author 30 First Name,Author 30 Last Name,Author 31 First Name,Author 31 Last Name,Author 32 First Name,Author 32 Last Name,Author 33 First Name,Author 33 Last Name,Author 18 Affiliation,Author 19 Affiliation,Author 20 Affiliation,Author 21 Affiliation,Author 22 Affiliation,Author 23 Affiliation
the therapy of cushing's disease in adults and children: an update,https://pubmed.ncbi.nlm.nih.gov/23225246/,07,12,2012,Hormone and metabolic research = Hormon- und Stoffwechselforschung = Hormones et metabolisme,45,2,1439-4286,A,Juszczak,"Oxford Centre for Diabetes, Endocrinology and Metabolism, Churchill Hospital, University of Oxford, Oxford, UK. agata.juszczak@doctors.net.uk",M E,Ertorer,A,Grossman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
endoscopic ultrasound cannot determine suitability for esophagectomy after aggressive chemoradiotherapy for esophageal cancer,https://pubmed.ncbi.nlm.nih.gov/10201455/,XX,04,1999,The American journal of gastroenterology,94,4,0002-9270,G,Zuccaro,"Department of Gastroenterology, The Cleveland Clinic Foundation, Ohio 44195, USA.",T W,Rice,J,Goldblum,S V,Medendorp,M,Becker,R,Pimentel,L,Gitlin,D J,Adelstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
providing guidance for genomics-based cancer treatment decisions: insights from stakeholder engagement for post-prostatectomy radiation therapy,https://pubmed.ncbi.nlm.nih.gov/28836985/,24,08,2017,BMC medical informatics and decision making,17,1,1472-6947,James,Abe,"Department of Radiation Oncology, University of Virginia School of Medicine, 1240 Lee Street, Box 800383, Charlottesville, VA, 22908, USA.",Jennifer M,Lobo,Daniel M,Trifiletti,Timothy N,Showalter,,,,,,,,,"Department of Public Health Sciences, University of Virginia School of Medicine, Charlottesville, VA, USA.","Department of Radiation Oncology, University of Virginia School of Medicine, 1240 Lee Street, Box 800383, Charlottesville, VA, 22908, USA.","Department of Radiation Oncology, University of Virginia School of Medicine, 1240 Lee Street, Box 800383, Charlottesville, VA, 22908, USA. tns3b@virginia.edu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"guidelines for clinical practice: standards, options and recommendations 2005 for the management of adult patients exhibiting an m0 cutaneous melanoma, full report. national federation of cancer campaign centers. french dermatology society. update of the 1995 consensus conference and the 1998 standards, options, and recommendations",https://pubmed.ncbi.nlm.nih.gov/16521904/,XX,12,2005,Annales de dermatologie et de venereologie,132,12 Pt 2,0151-9638,S,Négrier,"Centre Léon-Bérard, Lyon.",P,Saiag,B,Guillot,O,Verola,M F,Avril,C,Bailly,D,Cupissol,S,Dalac,,,,A,Danino,B,Dreno,J J,Grob,M T,Leccia,C,Renaud-Vilmer,L,Bosquet,National Federation of Cancer Campaign Centers,French Dermatology Society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost-effectiveness analysis of routine magnetic resonance imaging in the follow-up of patients with nasopharyngeal carcinoma after intensity modulated radiation therapy,https://pubmed.ncbi.nlm.nih.gov/29804816/,30,03,2018,"International journal of radiation oncology, biology, physics",102,4,1879-355X,Guan-Qun,Zhou,"State Key Laboratory of Oncology in Southern China, Collaborative Innovation Center of Cancer Medicine, Guangdong Key Laboratory of Nasopharyngeal Carcinoma Diagnosis and Therapy, Department of Radiation Oncology, Cancer Center, Sun Yat-sen University, Guangzhou, People's Republic of China.",Chen-Fei,Wu,Jian,Zhang,Yan-Ping,Mao,Ling-Long,Tang,Lei,Chen,Rui,Guo,Jun,Ma,"Zhongshan School of Medicine, Sun Yat-sen University, Guangzhou, People's Republic of China.","State Key Laboratory of Oncology in Southern China, Collaborative Innovation Center of Cancer Medicine, Guangdong Key Laboratory of Nasopharyngeal Carcinoma Diagnosis and Therapy, Department of Radiation Oncology, Cancer Center, Sun Yat-sen University, Guangzhou, People's Republic of China.","State Key Laboratory of Oncology in Southern China, Collaborative Innovation Center of Cancer Medicine, Guangdong Key Laboratory of Nasopharyngeal Carcinoma Diagnosis and Therapy, Department of Radiation Oncology, Cancer Center, Sun Yat-sen University, Guangzhou, People's Republic of China.",Ying,Sun,,,,,,,,,,,,,"Zhongshan School of Medicine, Sun Yat-sen University, Guangzhou, People's Republic of China.","State Key Laboratory of Oncology in Southern China, Collaborative Innovation Center of Cancer Medicine, Guangdong Key Laboratory of Nasopharyngeal Carcinoma Diagnosis and Therapy, Department of Radiation Oncology, Cancer Center, Sun Yat-sen University, Guangzhou, People's Republic of China.","State Key Laboratory of Oncology in Southern China, Collaborative Innovation Center of Cancer Medicine, Guangdong Key Laboratory of Nasopharyngeal Carcinoma Diagnosis and Therapy, Department of Radiation Oncology, Cancer Center, Sun Yat-sen University, Guangzhou, People's Republic of China.","State Key Laboratory of Oncology in Southern China, Collaborative Innovation Center of Cancer Medicine, Guangdong Key Laboratory of Nasopharyngeal Carcinoma Diagnosis and Therapy, Department of Radiation Oncology, Cancer Center, Sun Yat-sen University, Guangzhou, People's Republic of China.","State Key Laboratory of Oncology in Southern China, Collaborative Innovation Center of Cancer Medicine, Guangdong Key Laboratory of Nasopharyngeal Carcinoma Diagnosis and Therapy, Department of Radiation Oncology, Cancer Center, Sun Yat-sen University, Guangzhou, People's Republic of China. Electronic address: sunying@sysucc.org.cn.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost effectiveness of modified fractionation radiotherapy versus conventional radiotherapy for unresected non-small-cell lung cancer patients,https://pubmed.ncbi.nlm.nih.gov/24457241/,XX,10,2013,Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer,8,10,1556-1380,Bram L T,Ramaekers,"*Department of Health Services Research, CAPHRI-School for Public Health and Primary Care, Maastricht University, Maastricht, The Netherlands; †Department of Clinical Epidemiology and Medical Technology Assessment (KEMTA), Maastricht University Medical Center, Maastricht, The Netherlands; ‡Service Biostatistique et Epidémiologie, and §Département d'Oncologie et de Radiothérapie, Gustave Roussy, Villejuif, France; ‖Department of Radiation Oncology (MAASTRO), GROW-School for Oncology and Developmental Biology, Maastricht University Medical Center, Maastricht, The Netherlands; ¶Department of Radiation Oncology, University Hospital Leuven/KU Leuven, Leuven, Belgium; #List of the members of Meta-Analysis of Radiotherapy in Lung Cancer Collaborative Group is given at the end of the acknowledgments; and **Department of Epidemiology, Biostatistics and HTA, University Medical Center, St. Radboud, Nijmegen, The Netherlands. Institut Gustave-Roussy/Karolinska Institutet Radiation Therapy Oncology Group Peter MacCallum Cancer Centre and the University of Melbourne University of Dresden Maria Sklodowska-Curie Memorial Cancer Center and Institute of Oncology Penn State Hershey Cancer Institute Peter MacCallum Cancer Centre Victorian Comprehensive Cancer Centre University of Alabama-Birmingham The University of Texas Southwestern Dana-Farber Cancer Institute University Hospital Leuven and University Hospital Maastricht Mount Vernon Hospital Institut de Cancérologie de la Loire University of Dresden Institut Gustave-Roussy Mayo Clinic Institut Gustave-Roussy Centre Hospitalier Lyon Sud MRC Clinical Trials Unit Mayo Clinic MRC Clinical Trials Unit Radiation Therapy Oncology Group Institut Gustave-Roussy Mount Vernon Hospital Intermountain Medical Center Mayo Clinic Sinai Grace Hospital Maria Sklodowska -Curie Memorial Cancer Center and Institute of Oncology.",Manuela A,Joore,Béranger,Lueza,Julia,Bonastre,Audrey,Mauguen,Jean-Pierre,Pignon,Cecile,Le Pechoux,Dirk K M,De Ruysscher,,,,,,Janneke P C,Grutters,,,,,,,,,MAR-LC Collaborative group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evaluation and treatment of high-risk patients with early-stage lung cancer,https://pubmed.ncbi.nlm.nih.gov/22054886/,07,10,2011,Clinics in chest medicine,32,4,1557-8216,Hiren J,Mehta,"Division of Pulmonary and Critical Care Medicine, Medical University of South Carolina, 171 Ashley Avenue, Charleston, SC 29425, USA.",Christopher,Ross,Gerard A,Silvestri,Roy H,Decker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prediction of pathologic fracture risk of the femur after combined modality treatment of soft tissue sarcoma of the thigh,https://pubmed.ncbi.nlm.nih.gov/20108335/,15,03,2010,Cancer,116,6,0008-543X,Yair,Gortzak,"University Musculoskeletal Oncology Unit, Division of Orthopaedic Surgery, Department of Surgery, Mount Sinai Hospital, University of Toronto, Toronto, Ontario, Canada. yair@bgu.ac.il",Gina A,Lockwood,Ashish,Mahendra,Ying,Wang,Peter W M,Chung,Charles N,Catton,Brian,O'Sullivan,Benjamin M,Deheshi,,,,Jay S,Wunder,Peter C,Ferguson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
long-term health-related quality of life after primary treatment for localized prostate cancer: results from the capsure registry,https://pubmed.ncbi.nlm.nih.gov/25242555/,18,09,2014,European urology,68,4,1873-7560,Sanoj,Punnen,"Department of Urology, Miller School of Medicine, University of Miami, Miami, FL, USA.",Janet E,Cowan,June M,Chan,Peter R,Carroll,Matthew R,Cooperberg,,,,,,,"University of California, San Francisco, Helen Diller Family Comprehensive Cancer Center, San Francisco, CA, USA.","University of California, San Francisco, Helen Diller Family Comprehensive Cancer Center, San Francisco, CA, USA.","University of California, San Francisco, Helen Diller Family Comprehensive Cancer Center, San Francisco, CA, USA.",,,,,,,,,,,,,,,"University of California, San Francisco, Helen Diller Family Comprehensive Cancer Center, San Francisco, CA, USA. Electronic address: mcooperberg@urology.ucsf.edu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acceptable risks in adjuvant therapy,https://pubmed.ncbi.nlm.nih.gov/3093948/,XX,08,1986,Onkologie,9,4,0378-584X,K W,Brunner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
