Title,URL,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 2 First Name,Author 2 Last Name,Author 1 Affiliation,Author 3 First Name,Author 3 Last Name,Author 4 First Name,Author 4 Last Name,Author 5 First Name,Author 5 Last Name,Author 6 First Name,Author 6 Last Name,Author 7 First Name,Author 7 Last Name,Author 8 First Name,Author 8 Last Name,Author 9 First Name,Author 9 Last Name,Author 10 First Name,Author 10 Last Name,Author 11 First Name,Author 11 Last Name,Author 12 First Name,Author 12 Last Name,Author 13 First Name,Author 13 Last Name,Author 14 First Name,Author 14 Last Name,Author 15 First Name,Author 15 Last Name,Author 16 First Name,Author 16 Last Name,Author 17 First Name,Author 17 Last Name,Author 18 First Name,Author 18 Last Name,Author 19 First Name,Author 19 Last Name,Author 20 First Name,Author 20 Last Name,Author 21 First Name,Author 21 Last Name,Author 22 First Name,Author 22 Last Name,Author 23 First Name,Author 23 Last Name,Author 24 First Name,Author 24 Last Name,Author 25 First Name,Author 25 Last Name,Author 26 First Name,Author 26 Last Name,Author 27 First Name,Author 27 Last Name,Collective Author 1,Author 2 Affiliation,Author 3 Affiliation,Author 4 Affiliation,Author 5 Affiliation,Author 6 Affiliation,Author 7 Affiliation,Author 8 Affiliation,Author 9 Affiliation,Author 10 Affiliation,Author 11 Affiliation,Author 12 Affiliation,Author 13 Affiliation,Author 14 Affiliation,Author 15 Affiliation,Author 16 Affiliation,Author 17 Affiliation,Author 18 Affiliation,Author 19 Affiliation,Author 20 Affiliation,Author 21 Affiliation,Author 22 Affiliation,Author 23 Affiliation,Collective Author 2,Author 28 First Name,Author 28 Last Name,Author 29 First Name,Author 29 Last Name,Author 30 First Name,Author 30 Last Name,Author 31 First Name,Author 31 Last Name,Author 32 First Name,Author 32 Last Name,Author 33 First Name,Author 33 Last Name
evaluation of health-related quality of life in patients with prostate cancer after treatment with radical retropubic prostatectomy and permanent prostate brachytherapy,https://pubmed.ncbi.nlm.nih.gov/20606405/,02,07,2010,Urologia internationalis,85,2,1423-0399,Svetomir,Dragićević,Tamara,Naumović,"Institute of Urology and Nephrology, Clinical Center of Serbia, Belgrade, Serbia.",Ivan,Soldatović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stereotactic body radiotherapy versus surgery for medically operable stage i non-small-cell lung cancer: a markov model-based decision analysis,https://pubmed.ncbi.nlm.nih.gov/20932688/,06,10,2010,"International journal of radiation oncology, biology, physics",81,4,1879-355X,Alexander V,Louie,George,Rodrigues,"Department of Oncology, University of Western Ontario, London, ON, Canada.",Malek,Hannouf,Gregory S,Zaric,David A,Palma,Jeffrey Q,Cao,Brian P,Yaremko,Richard,Malthaner,Joseph D,Mocanu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
radiosurgery alone for 5 or more brain metastases: expert opinion survey,https://pubmed.ncbi.nlm.nih.gov/21121790/,XX,12,2010,Journal of neurosurgery,113 Suppl,,1933-0693,Jonathan P S,Knisely,Masaaki,Yamamoto,"Department of Therapeutic Radiology, Yale University School of Medicine & Yale Cancer Center, New Haven, Connecticut 06520-8040, USA. jonathan.knisely@yale.edu",Cary P,Gross,William A,Castrucci,Hidefumi,Jokura,Veronica L S,Chiang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
incorporating margin status information in treatment decisions for women with ductal carcinoma in situ: a decision analysis,https://pubmed.ncbi.nlm.nih.gov/20848183/,17,09,2010,Breast cancer research and treatment,124,2,1573-7217,Shi-Yi,Wang,Karen,Kuntz,"Department of Health Policy and Management, University of Minnesota School of Public Health, 420 Delaware Street S.E. MMC 729, Minneapolis, MN 55455, USA. wang1018@umn.edu",Todd,Tuttle,Robert,Kane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
management of patients with acoustic neuromas: a markov decision analysis,https://pubmed.ncbi.nlm.nih.gov/20213657/,XX,04,2010,The Laryngoscope,120,4,1531-4995,Daniel,Morrison,,,"Section of Otolaryngology, Dartmouth Medical School, Dartmouth-Hitchcock Medical Center, Lebanon, New Hampshire 03756, USA. daniel.morrison@hitchcock.org",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prediction of pathologic fracture risk of the femur after combined modality treatment of soft tissue sarcoma of the thigh,https://pubmed.ncbi.nlm.nih.gov/20108335/,15,03,2010,Cancer,116,6,0008-543X,Yair,Gortzak,Gina A,Lockwood,"University Musculoskeletal Oncology Unit, Division of Orthopaedic Surgery, Department of Surgery, Mount Sinai Hospital, University of Toronto, Toronto, Ontario, Canada. yair@bgu.ac.il",Ashish,Mahendra,Ying,Wang,Peter W M,Chung,Charles N,Catton,Brian,O'Sullivan,Benjamin M,Deheshi,Jay S,Wunder,Peter C,Ferguson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation and simplification of the radiation therapy oncology group recursive partitioning analysis classification for glioblastoma,https://pubmed.ncbi.nlm.nih.gov/20888136/,01,10,2010,"International journal of radiation oncology, biology, physics",81,3,1879-355X,Jing,Li,Meihua,Wang,"University of Texas MD Anderson Cancer Center, Houston, TX, USA.",Minhee,Won,Edward G,Shaw,Christopher,Coughlin,Walter J,Curran,Minesh P,Mehta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
active surveillance compared with initial treatment for men with low-risk prostate cancer: a decision analysis,https://pubmed.ncbi.nlm.nih.gov/21119084/,01,12,2010,JAMA,304,21,1538-3598,Julia H,Hayes,Daniel A,Ollendorf,"Lank Center for Genitourinary Oncology, Dana-Farber Cancer Institute, Boston, MA 02115, USA. julia_hayes@dfci.harvard.edu",Steven D,Pearson,Michael J,Barry,Philip W,Kantoff,Susan T,Stewart,Vibha,Bhatnagar,Christopher J,Sweeney,James E,Stahl,Pamela M,McMahon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patterns and correlates of adjuvant radiotherapy receipt after lumpectomy and after mastectomy for breast cancer,https://pubmed.ncbi.nlm.nih.gov/20351324/,29,03,2010,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,28,14,1527-7755,Reshma,Jagsi,Paul,Abrahamse,"Department of Radiation Oncology, University of Michigan, UHB2C490, SPC 5010, 1500 E Medical Center Dr, Ann Arbor, MI 48109-5010, USA. rjagsi@med.umich.edu",Monica,Morrow,Sarah T,Hawley,Jennifer J,Griggs,John J,Graff,Ann S,Hamilton,Steven J,Katz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
value of pet-ct in avoiding multimodality therapy in operable cervical cancer,https://pubmed.ncbi.nlm.nih.gov/20683414/,XX,08,2010,International journal of gynecological cancer : official journal of the International Gynecological Cancer Society,20,6,1525-1438,Bhupesh K,Goyal,Harkirat,Singh,"Department of Obstetrics and Gynecology, Army Hospital (Research & Referral), New Delhi, India. bkgnona@gmail.com",Krishan,Kapur,Bhupinder S,Duggal,Mattakarottu J,Jacob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the 'cap calculator': an online decision support tool for clinically localized prostate cancer,https://pubmed.ncbi.nlm.nih.gov/20346051/,15,03,2010,BJU international,105,10,1464-410X,Matthew S,Katz,Jason A,Efstathiou,"Radiation Oncology Associates, Saints Medical Center, Lowell, MA, USA. matt@roa-ne.com",Anthony V,D'Amico,Michael W,Kattan,Martin G,Sanda,Paul L,Nguyen,Matthew R,Smith,Peter R,Carroll,Anthony L,Zietman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
role of positron emission tomography in the treatment of occult disease in head-and-neck cancer: a modeling approach,https://pubmed.ncbi.nlm.nih.gov/20510538/,25,05,2010,"International journal of radiation oncology, biology, physics",79,4,1879-355X,Mark H,Phillips,Wade P,Smith,"Department of Radiation Oncology, University of Washington Medical Center, Seattle, WA 98195, USA. markp@u.washington.edu",Upendra,Parvathaneni,George E,Laramore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretreatment nomogram to predict the risk of acute urinary retention after i-125 prostate brachytherapy,https://pubmed.ncbi.nlm.nih.gov/20888131/,01,10,2010,"International journal of radiation oncology, biology, physics",81,3,1879-355X,Ellen M,Roeloffzen,Marco,van Vulpen,"Department of Radiation Oncology, University Medical Center Utrecht, The Netherlands. e.m.a.roeloffzen@umcutrecht.nl",Jan J,Battermann,Joep G,van Roermund,Elantholi P,Saibishkumar,Evelyn M,Monninkhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
factors affecting management decisions in rectal cancer in clinical practice: results from a national survey,https://pubmed.ncbi.nlm.nih.gov/21057971/,06,11,2010,Techniques in coloproctology,15,1,1128-045X,A,Habr-Gama,R O,Perez,"Department of Gastroenterology, University of São Paulo School of Medicine, Rua Manuel da Nóbrega, 1564, São Paulo, SP 04001-005, Brazil.",G P,São Julião,I,Proscurshim,S C,Nahas,J,Gama-Rodrigues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
place of surgery in high-risk tumours of the prostate,https://pubmed.ncbi.nlm.nih.gov/20727805/,19,08,2010,Cancer radiotherapie : journal de la Societe francaise de radiotherapie oncologique,14,6-7,1769-6658,M,Soulié,F,Rozet,"Service d'Urologie, d'Andrologie et de Transplantation Rénale, Hôpital de Rangueil, CHU de Toulouse, 1 avenue Jean-Poulhès, 31403 Toulouse cedex 04, France. soulie.m@chu-toulouse.fr",C,Hennequin,L,Salomon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Membres du Sous-Comité Prostate du CCAFU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the cost-effectiveness of particle therapy in non-small cell lung cancer: exploring decision uncertainty and areas for future research,https://pubmed.ncbi.nlm.nih.gov/20303217/,29,03,2010,Cancer treatment reviews,36,6,1532-1967,Janneke P C,Grutters,Madelon,Pijls-Johannesma,"Department of Radiation Oncology (MAASTRO), GROW-School for Oncology and Developmental Biology, Maastricht University Medical Centre, P.O. Box 1588, 6201 BN Maastricht, The Netherlands. janneke.grutters@maastro.nl",Dirk De,Ruysscher,Andrea,Peeters,Stefan,Reimoser,Johan L,Severens,Philippe,Lambin,Manuela A,Joore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"development, external validation and clinical usefulness of a practical prediction model for radiation-induced dysphagia in lung cancer patients",https://pubmed.ncbi.nlm.nih.gov/21084125/,XX,12,2010,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,97,3,1879-0887,Cary,Dehing-Oberije,Dirk,De Ruysscher,"Department of Radiotherapy, Maastricht University Medical Center, University Maastricht, MAASTRO clinic, GROW, The Netherlands. cary.oberije@maastro.nl",Steven,Petit,Jan,Van Meerbeeck,Katrien,Vandecasteele,Wilfried,De Neve,Anne Marie C,Dingemans,Issam,El Naqa,Joseph,Deasy,Jeff,Bradley,Ellen,Huang,Philippe,Lambin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the novel nomogram of gleason sum upgrade: possible application for the eligible criteria of low dose rate brachytherapy,https://pubmed.ncbi.nlm.nih.gov/20812920/,31,08,2010,International journal of urology : official journal of the Japanese Urological Association,17,10,1442-2042,Lars,Budäus,Markus,Graefen,"Martiniclinic, Prostate Cancer Center Hamburg-Eppendorf, University Hospital Hamburg-Eppendorf, Hamburg, Germany.",Georg,Salomon,Hendrik,Isbarn,Giovanni,Lughezzani,Maxine,Sun,Felix K H,Chun,Thorsten,Schlomm,Thomas,Steuber,Alexander,Haese,Jens,Koellermann,Guido,Sauter,Margit,Fisch,Hans,Heinzer,Hartwig,Huland,Pierre I,Karakiewicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the impact of adding radiation treatment after breast conservation surgery for ductal carcinoma in situ of the breast,https://pubmed.ncbi.nlm.nih.gov/20956827/,XX,XX,2010,Journal of the National Cancer Institute. Monographs,2010,41,1745-6614,Lawrence J,Solin,,,"Department of Radiation Oncology, Albert Einstein Medical Center, 5501 Old York Rd, Philadelphia, PA 19141, USA. solin@einstein.edu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robust optimization based upon statistical theory,https://pubmed.ncbi.nlm.nih.gov/20879563/,XX,08,2010,Medical physics,37,8,0094-2405,B,Sobotta,M,Söhn,"Abt. Medizinische Physik, Radiologische Uniklinik, Universität Tübingen, Germany. benjamin.sobotta@med.uni-tuebingen.de",M,Alber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
breast conservation treatment with radiation: an ongoing success story,https://pubmed.ncbi.nlm.nih.gov/20048173/,04,01,2010,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,28,5,1527-7755,Lawrence J,Solin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vascular structure and binomial statistics for response modeling in radiosurgery of cerebral arteriovenous malformations,https://pubmed.ncbi.nlm.nih.gov/20299719/,19,03,2010,Physics in medicine and biology,55,7,1361-6560,Bahram,Andisheh,Mohammad A,Bitaraf,"Department of Medical Radiation Physics, Karolinska Institutet and Stockholm University, Stockholm, Sweden.",Panayiotis,Mavroidis,Anders,Brahme,Bengt K,Lind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multifocal langerhans cell histiocytosis of bone: indications for radiotherapy,https://pubmed.ncbi.nlm.nih.gov/20674449/,31,07,2010,Cancer radiotherapie : journal de la Societe francaise de radiotherapie oncologique,14,8,1769-6658,G-L,Gaundong Mbéthé,C,Dejean,"Service de radiothérapie, centre régional de lutte contre le cancer, institut Bergonié, 229, cours de l'Argonne, 33076 Bordeaux cedex, France. gaundong@yahoo.fr",B,Henriques de Figueiredo,P,Sargos,A,Italiano,G,Kantor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
