Title,URL,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Collective Author 1,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Author 23 First Name,Author 23 Last Name,Author 23 Affiliation,Author 24 First Name,Author 24 Last Name,Author 24 Affiliation,Author 25 First Name,Author 25 Last Name,Author 25 Affiliation,Author 26 First Name,Author 26 Last Name,Author 26 Affiliation,Author 27 First Name,Author 27 Last Name,Author 27 Affiliation,Author 28 First Name,Author 28 Last Name,Author 28 Affiliation,Author 29 First Name,Author 29 Last Name,Author 29 Affiliation,Author 30 First Name,Author 30 Last Name,Author 30 Affiliation,Author 31 First Name,Author 31 Last Name,Author 31 Affiliation,Author 32 First Name,Author 32 Last Name,Author 32 Affiliation,Author 33 First Name,Author 33 Last Name,Author 33 Affiliation,Author 34 First Name,Author 34 Last Name,Author 34 Affiliation
assessment of a diaphragm override strategy for robustly optimized proton therapy planning for esophageal cancer patients,https://pubmed.ncbi.nlm.nih.gov/34289123/,05,08,2021,Medical physics,48,10,2473-4209,Sabine,Visser,"Department of Radiation Oncology, University Medical Center Groningen, University of Groningen, Groningen, The Netherlands.",Hendrike,Neh,"Division for Medical Radiation Physics, Carl von Ossietzky University Oldenburg, Oldenburg, Germany.",Cássia,Oraboni Ribeiro,"Department of Radiation Oncology, University Medical Center Groningen, University of Groningen, Groningen, The Netherlands.",Erik W,Korevaar,"Department of Radiation Oncology, University Medical Center Groningen, University of Groningen, Groningen, The Netherlands.",Arturs,Meijers,"Department of Radiation Oncology, University Medical Center Groningen, University of Groningen, Groningen, The Netherlands.",Björn,Poppe,"Division for Medical Radiation Physics, Carl von Ossietzky University Oldenburg, Oldenburg, Germany.",Nanna M,Sijtsema,"Department of Radiation Oncology, University Medical Center Groningen, University of Groningen, Groningen, The Netherlands.",Stefan,Both,"Department of Radiation Oncology, University Medical Center Groningen, University of Groningen, Groningen, The Netherlands.",Johannes A,Langendijk,"Department of Radiation Oncology, University Medical Center Groningen, University of Groningen, Groningen, The Netherlands.",Christina T,Muijs,"Department of Radiation Oncology, University Medical Center Groningen, University of Groningen, Groningen, The Netherlands.",Antje C,Knopf,"Department of Radiation Oncology, University Medical Center Groningen, University of Groningen, Groningen, The Netherlands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
introducing a probabilistic definition of the target in a robust treatment planning framework,https://pubmed.ncbi.nlm.nih.gov/34236043/,22,07,2021,Physics in medicine and biology,66,15,1361-6560,Gregory,Buti,"Université Catholique de Louvain, Institut de Recherche Expérimentale et Clinique (IREC), Center of Molecular Imaging, Radiotherapy and Oncology (MIRO), Avenue Hippocrate 54-Box B1.54.07, B-1200 Brussels, Belgium.",Kevin,Souris,"Université Catholique de Louvain, Institut de Recherche Expérimentale et Clinique (IREC), Center of Molecular Imaging, Radiotherapy and Oncology (MIRO), Avenue Hippocrate 54-Box B1.54.07, B-1200 Brussels, Belgium.",Ana,Maria Barragán Montero,"Université Catholique de Louvain, Institut de Recherche Expérimentale et Clinique (IREC), Center of Molecular Imaging, Radiotherapy and Oncology (MIRO), Avenue Hippocrate 54-Box B1.54.07, B-1200 Brussels, Belgium.",John,Aldo Lee,"Université Catholique de Louvain, Institut de Recherche Expérimentale et Clinique (IREC), Center of Molecular Imaging, Radiotherapy and Oncology (MIRO), Avenue Hippocrate 54-Box B1.54.07, B-1200 Brussels, Belgium.",Edmond,Sterpin,"Université Catholique de Louvain, Institut de Recherche Expérimentale et Clinique (IREC), Center of Molecular Imaging, Radiotherapy and Oncology (MIRO), Avenue Hippocrate 54-Box B1.54.07, B-1200 Brussels, Belgium.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"dosimetric comparison of helical tomotherapy, volumetric-modulated arc therapy, and intensity-modulated proton therapy for angiosarcoma of the scalp",https://pubmed.ncbi.nlm.nih.gov/33517860/,XX,XX,2021,Technology in cancer research & treatment,20,,1533-0338,Tomoki,Mizuno,"Department of Radiology, Nagoya City University Graduate School of Medical Sciences, Nagoya, Aichi, Japan.",Natsuo,Tomita,"Department of Radiology, Nagoya City University Graduate School of Medical Sciences, Nagoya, Aichi, Japan.",Taiki,Takaoka,"Narita Memorial Proton Center, Toyohashi, Aichi, Japan.",Masashi,Tomida,"Narita Memorial Proton Center, Toyohashi, Aichi, Japan.",Hiroshi,Fukuma,"Department of Radiology, Nagoya City University Graduate School of Medical Sciences, Nagoya, Aichi, Japan.",Takahiro,Tsuchiya,"Department of Radiology, Nagoya City University Graduate School of Medical Sciences, Nagoya, Aichi, Japan.",Yuta,Shibamoto,"Department of Radiology, Nagoya City University Graduate School of Medical Sciences, Nagoya, Aichi, Japan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
radiotherapy treatment scheduling: implementing operations research into clinical practice,https://pubmed.ncbi.nlm.nih.gov/33606831/,19,02,2021,PloS one,16,2,1932-6203,Bruno,Vieira,"Department of Radiation Oncology, Netherlands Cancer Institute-Antoni van Leeuwenhoek, Amsterdam, The Netherlands.",Derya,Demirtas,"Center for Healthcare Operations Improvement and Research (CHOIR), University of Twente, Enschede, The Netherlands.",Jeroen B,van de Kamer,"Department of Radiation Oncology, Netherlands Cancer Institute-Antoni van Leeuwenhoek, Amsterdam, The Netherlands.",Erwin W,Hans,"Center for Healthcare Operations Improvement and Research (CHOIR), University of Twente, Enschede, The Netherlands.",Willem,Jongste,"Bernard Verbeeten Instituut, Tilburg, The Netherlands.",Wim,van Harten,"Department of Radiation Oncology, Netherlands Cancer Institute-Antoni van Leeuwenhoek, Amsterdam, The Netherlands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intensity-modulated proton therapy (impt) versus intensity-modulated radiation therapy (imrt) for the treatment of head and neck cancer: a dosimetric comparison,https://pubmed.ncbi.nlm.nih.gov/33648823/,26,02,2021,Medical dosimetry : official journal of the American Association of Medical Dosimetrists,46,3,1873-4022,My-Lien,Nguyen,"Department of Radiation Oncology, University of Oklahoma Health Sciences Center, Oklahoma City, OK 73104, USA.",J Nathan,Cantrell,"Department of Radiation Oncology, University of Oklahoma Health Sciences Center, Oklahoma City, OK 73104, USA.",Salahuddin,Ahmad,"Department of Radiation Oncology, University of Oklahoma Health Sciences Center, Oklahoma City, OK 73104, USA.",Christina,Henson,"Department of Radiation Oncology, University of Oklahoma Health Sciences Center, Oklahoma City, OK 73104, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
investigating volumetric repainting to mitigate interplay effect on 4d robustly optimized lung cancer plans in pencil beam scanning proton therapy,https://pubmed.ncbi.nlm.nih.gov/33599391/,18,02,2021,Journal of applied clinical medical physics,22,3,1526-9914,Suresh,Rana,"Department of Medical Physics, The Oklahoma Proton Center, Oklahoma City, Oklahoma, USA.",Anatoly B,Rosenfeld,"Centre for Medical Radiation Physics (CMRP), University of Wollongong, Wollongong, NSW, Australia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbct-based adaptive assessment workflow for intensity modulated proton therapy for head and neck cancer,https://pubmed.ncbi.nlm.nih.gov/33829071/,15,03,2021,International journal of particle therapy,7,4,2331-5180,Mariluz,De Ornelas,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, USA.",Yihang,Xu,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, USA.",Kyle,Padgett,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, USA.",Ryder M,Schmidt,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, USA.",Michael,Butkus,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, USA.",Tejan,Diwanji,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, USA.",Gus,Luciani,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, USA.",Jason,Lambiase,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, USA.",Stuart,Samuels,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, USA.",Michael,Samuels,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, USA.",Nesrin,Dogan,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation of automated complex head and neck treatment planning with pencil beam scanning proton therapy,https://pubmed.ncbi.nlm.nih.gov/34936205/,22,12,2021,Journal of applied clinical medical physics,23,2,1526-9914,Samantha Grace,Hedrick,"Provision CARES Proton Therapy Center, Knoxville, Tennessee, USA.",Scott,Petro,"Provision CARES Proton Therapy Center, Knoxville, Tennessee, USA.",Alex,Ward,"Provision CARES Proton Therapy Center, Knoxville, Tennessee, USA.",Bart,Morris,"Provision CARES Proton Therapy Center, Knoxville, Tennessee, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
implementation and experimental validation of a robust hybrid direct aperture optimization approach for mixed-beam radiotherapy,https://pubmed.ncbi.nlm.nih.gov/34585756/,14,10,2021,Medical physics,48,11,2473-4209,Emily,Heath,"Carleton Laboratory for Radiotherapy Physics, Carleton University, Ottawa, Canada.",Silvan,Mueller,"Division of Medical Radiation Physics and Department of Radiation Oncology, Inselspital, Bern University Hospital and University of Bern, Bern, Switzerland.",Gian,Guyer,"Division of Medical Radiation Physics and Department of Radiation Oncology, Inselspital, Bern University Hospital and University of Bern, Bern, Switzerland.",Alisha,Duetschler,"Division of Medical Radiation Physics and Department of Radiation Oncology, Inselspital, Bern University Hospital and University of Bern, Bern, Switzerland.",Olgun,Elicin,"Division of Medical Radiation Physics and Department of Radiation Oncology, Inselspital, Bern University Hospital and University of Bern, Bern, Switzerland.",Daniel,Aebersold,"Division of Medical Radiation Physics and Department of Radiation Oncology, Inselspital, Bern University Hospital and University of Bern, Bern, Switzerland.",Michael K,Fix,"Division of Medical Radiation Physics and Department of Radiation Oncology, Inselspital, Bern University Hospital and University of Bern, Bern, Switzerland.",Peter,Manser,"Division of Medical Radiation Physics and Department of Radiation Oncology, Inselspital, Bern University Hospital and University of Bern, Bern, Switzerland.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robust dose-painting-by-numbers vs. nonselective dose escalation for non-small cell lung cancer patients,https://pubmed.ncbi.nlm.nih.gov/33721350/,14,05,2021,Medical physics,48,6,2473-4209,Steven F,Petit,"Department of Radiotherapy, Erasmus MC Cancer Institute, University Medical Center Rotterdam, Rotterdam, The Netherlands.",Sebastiaan,Breedveld,"Department of Radiotherapy, Erasmus MC Cancer Institute, University Medical Center Rotterdam, Rotterdam, The Netherlands.",Jan,Unkelbach,"Department of Radiation Oncology, University Hospital Zürich, Zürich, Switzerland.",Dick,den Hertog,"Department of Econometrics and Operations Research, Tilburg University, Tilburg, The Netherlands.",Marleen,Balvert,"Department of Econometrics and Operations Research, Tilburg University, Tilburg, The Netherlands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
